Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Old_Dialogue_ID,Old_Utterance_ID,Season,Episode,StartTime,EndTime
Oh I embarrass,Joey,6,negative,492,4,236,6,4,23,"00:09:32,029","00:09:33,488"
How I answer I Åf pretending I Åf know,Chandler,4,neutral,492,5,236,7,4,23,"00:09:33,656","00:09:36,700"
Oh really Then come one wearing,Chandler,4,neutral,492,6,236,9,4,23,"00:09:40,663","00:09:44,833"
All right look insist wearing public Åf know Åf gon na spend rest afternoon,Chandler,1,negative,492,7,236,11,4,23,"00:09:48,087","00:09:55,176"
Oh yeah If Åf gon na make choose hat I choose hat,Joey,4,neutral,492,8,236,12,4,23,"00:09:55,344","00:10:04,311"
Okay wait All right Åf okay I Åf I going embarrassed anymore,Chandler,0,negative,492,10,236,15,4,23,"00:10:05,688","00:10:11,192"
How I answer I Åf pretending I Åf know,Chandler,4,neutral,493,0,236,7,4,23,"00:09:33,656","00:09:36,700"
Oh really Then come one wearing,Chandler,4,neutral,493,1,236,9,4,23,"00:09:40,663","00:09:44,833"
They Åf tourists,The Vendor,4,neutral,493,2,236,10,4,23,"00:09:45,001","00:09:47,252"
All right look insist wearing public Åf know Åf gon na spend rest afternoon,Chandler,1,negative,493,3,236,11,4,23,"00:09:48,087","00:09:55,176"
So I 'm empty vase huh,Monica,6,negative,494,0,237,0,3,12,"0:16:12,471","0:16:14,863"
Y'know I n't read many important books I n't write trick poems seem one thing actually something else,Monica,0,negative,494,2,237,2,3,12,"00:16:16,684","00:16:26,526"
And y'know I get excited stupid stuff like I,Monica,4,neutral,494,3,237,3,3,12,"00:16:23,983","00:16:29,070"
Whoa whoa whoa,Julio,6,negative,494,4,237,4,3,12,"0:16:39,039","0:16:40,851"
You n't even know,Monica,0,negative,494,5,237,5,3,12,"0:16:40,851","0:16:41,003"
Whoa whoa whoa poem,Julio,6,negative,494,6,237,6,3,12,"00:16:41,125","00:16:43,251"
The Empty Vase My baby make sad would think,Julio,5,negative,494,8,237,8,3,12,"00:16:44,795","00:16:53,094"
I 'm sorry friend Phoebe,Monica,5,negative,494,9,237,9,3,12,"00:16:55,973","00:16:59,976"
No 's women Well American women You feel better,Julio,4,neutral,494,10,237,10,3,12,"00:17:00,144","00:17:10,403"
Okay forward Forward Stop Okay back Stop Okay forward Stop Stop Stop,Ross,4,neutral,495,0,238,0,7,14,"00:08:01,939","00:08:08,111"
Okay Åf Åf gon na,Phoebe,4,neutral,495,1,238,1,7,14,"00:08:14,410","00:08:16,661"
Okay I Åf gon na break mini-van put neutral,Phoebe,4,neutral,495,2,238,2,7,14,"00:08:16,913","00:08:19,664"
You guys push forward Ross drive spot,Phoebe,4,neutral,495,3,238,3,7,14,"00:08:19,916","00:08:22,709"
All right go,Phoebe,4,neutral,495,5,238,5,7,14,"0:08:23,421","0:08:25,843"
So said year 2030 'll computers carry number functions actual human brain,Ross,4,neutral,496,0,239,0,6,7,"00:21:07,724","00:21:15,564"
So theoretically could download thoughts memories computer,Ross,4,neutral,496,1,239,1,6,7,"00:21:19,403","00:21:21,612"
live forever machine,Janine,3,positive,496,2,239,2,6,7,"00:21:21,780","00:21:24,198"
That 's Janine you-you-you know know 're right,Ross,3,positive,496,3,239,3,6,7,"00:21:27,286","00:21:32,164"
You I 're interfacing,Ross,4,neutral,496,4,239,4,6,7,"00:21:33,583","00:21:36,085"
Yeah I got ta go,Janine,2,negative,496,5,239,5,6,7,"00:21:37,546","00:21:39,297"
Yeah I got ta go,Janine,2,negative,497,0,239,5,6,7,"00:21:37,546","00:21:39,297"
Ba dum bumb cheshhh,Chandler,3,positive,497,1,239,6,6,7,"00:21:45,554","00:21:46,887"
David help I 'm trying explain Chandler plane stays air,Monica,4,neutral,498,0,240,0,9,23,"00:03:42,138","00:03:47,017"
Oh certainly That 's combination Bernoulli 's principle Newton 's third law motion,David,4,neutral,498,1,240,1,9,23,"00:03:47,185","00:03:53,732"
Yeah 's `` something wind,Chandler,2,negative,499,1,240,3,9,23,"00:03:53,900","00:03:57,361"
Alright I 'm gon na go pick things trip,Monica,4,neutral,499,2,240,4,9,23,"00:03:57,862","00:04:00,113"
Alright I 'm gon na go pick things trip,Monica,4,neutral,500,0,240,4,9,23,"00:03:57,862","00:04:00,113"
Oh I go,Phoebe,4,neutral,500,1,240,5,9,23,"00:04:00,281","00:04:04,868"
Oh ... tomorrow guys wan na share cab airport Mike I meet,Phoebe,4,neutral,500,2,240,6,9,23,"00:04:05,036","00:04:17,506"
Oh ... Mike 's sister invited party tonight 's gon na,Phoebe,0,negative,501,0,241,0,9,22,"00:01:22,916","00:01:27,044"
And like `` Oh n't worry,Phoebe,5,negative,501,1,241,1,9,22,"0:01:27,212","0:01:31,404"
He 's totally ok seeing,Phoebe,0,negative,501,3,241,3,9,22,"0:01:31,696","0:01:31,852"
So I go 'll think I 'm totally ok seeing,Phoebe,3,positive,501,4,241,4,9,22,"00:01:31,925","00:01:35,761"
Which 're 've totally hung,Rachel,0,negative,501,5,241,5,9,22,"0:01:35,929","0:01:37,491"
And 're gon na want eat heart 're gon na look fabulous,Rachel,4,neutral,501,7,241,7,9,22,"00:01:38,932","00:01:42,351"
I n't even think Aaargh,Phoebe,0,negative,501,8,241,8,9,22,"00:01:42,519","00:01:47,689"
Hey Pheebs I'm-I 'm taking Charlie shopping n't come I 'll help find something,Rachel,4,neutral,501,9,241,9,9,22,"00:01:48,274","00:01:54,404"
Ok 'll great,Phoebe,3,positive,501,10,241,10,9,22,"00:01:51,194","00:01:54,404"
Oh ... Mike 's sister invited party tonight 's gon na,Phoebe,0,negative,502,0,241,0,9,22,"00:01:22,916","00:01:27,044"
And like `` Oh n't worry,Phoebe,5,negative,502,1,241,1,9,22,"0:01:27,212","0:01:31,404"
He 's totally ok seeing,Phoebe,0,negative,502,3,241,3,9,22,"0:01:31,696","0:01:31,852"
So I go 'll think I 'm totally ok seeing,Phoebe,3,positive,502,4,241,4,9,22,"00:01:31,925","00:01:35,761"
Ok 'll great,Phoebe,3,positive,502,5,241,10,9,22,"00:01:51,194","00:01:54,404"
Oh ai n't nice The three trying slutty lingerie together,Joey,1,negative,502,6,241,11,9,22,"00:01:54,572","00:02:00,119"
Oh ai n't nice The three trying slutty lingerie together,Joey,1,negative,503,0,241,11,9,22,"00:01:54,572","00:02:00,119"
That 's 're gon na,Rachel,1,negative,503,1,241,12,9,22,"0:02:01,079","0:02:03,749"
Why would ruin hurtin,Joey,1,negative,503,2,241,13,9,22,"0:02:03,749","0:02:05,578"
Julie hi Chandler Bing I I guess remember,Chandler,3,positive,504,0,242,0,7,6,"00:14:01,090","00:14:03,383"
It Åf nickname I Åf explain later,Chandler,4,neutral,504,2,242,2,7,6,"00:14:08,472","00:14:11,140"
Ah uh I owe long overdue apology I never broken overweight,Chandler,4,neutral,504,3,242,4,7,6,"00:14:15,646","00:14:25,738"
That Åf broke,Julie,6,negative,504,4,242,5,7,6,"00:14:23,696","00:14:25,738"
You-you-you Åf know Well I guess work done,Chandler,5,negative,504,5,242,6,7,6,"00:14:29,660","00:14:35,456"
It Åf nickname I Åf explain later,Chandler,4,neutral,505,0,242,2,7,6,"00:14:08,472","00:14:11,140"
It Åf pretty clear,Monica,4,neutral,505,1,242,3,7,6,"00:14:11,308","00:14:13,351"
Ah uh I owe long overdue apology I never broken overweight,Chandler,4,neutral,505,2,242,4,7,6,"00:14:15,646","00:14:25,738"
Ross Excuse pardon excuse,Rachel,6,positive,506,1,243,1,1,24,"00:11:59,260","00:12:03,179"
I I wanted thank uh little talk,Ross,4,neutral,507,1,244,1,2,4,"00:11:25,976","00:11:29,270"
Well I going I talked I talked Joey,Ross,4,neutral,507,2,244,3,2,4,"00:11:33,192","00:11:36,611"
Basically told get ya know,Ross,4,neutral,507,4,244,5,2,4,"00:11:43,494","00:11:46,204"
So I though said I though said well way I get sex tonight,Ross,4,neutral,507,5,244,6,2,4,"00:11:46,997","00:11:52,627"
We Åf keep eyes night every Åf know Åf kinda lean stroke hair touch neck,Phoebe,3,positive,508,1,245,1,7,18,"00:06:51,202","00:06:59,292"
Okay stop Phoebe Åf getting tingly,Monica,3,positive,508,2,245,2,7,18,"00:06:59,460","00:07:01,503"
All I could think Åf know `` Is gon na kiss Is gon na kiss,Phoebe,3,positive,508,3,245,3,7,18,"00:07:03,131","00:07:06,216"
I Åf lady Monica I Åf kiss tell But hickey speaks,Phoebe,3,positive,508,5,245,5,7,18,"00:07:06,384","00:07:11,638"
Okay-okay I got I got,Monica,4,neutral,508,6,245,6,7,18,"00:07:11,806","00:07:13,849"
I like much I feel like I Åf 10 drinks today I Åf six,Phoebe,3,positive,508,7,245,7,7,18,"00:07:14,267","00:07:19,938"
Oh I Åf feeling since I first started going Chandler,Monica,3,positive,508,8,245,8,7,18,"00:07:21,399","00:07:26,570"
Wow I Åf never gon na feeling I,Monica,5,negative,508,9,245,9,7,18,"00:07:21,399","00:07:31,283"
You sound like guy,Phoebe,1,negative,508,10,245,10,7,18,"00:07:26,863","00:07:31,283"
No guy would saying `` I Åf never gon na get sleep anyone else,Monica,1,negative,508,11,245,11,7,18,"00:07:31,451","00:07:35,495"
I Åf never gon na get sleep anyone else,Monica,5,negative,508,13,245,13,7,18,"0:07:36,581","0:07:38,240"
I Åf busy planning wedding I forgot things I Åf giving,Monica,6,negative,508,14,245,14,7,18,"00:07:39,667","00:07:43,753"
I mean IÅcI Åf never gon na first kiss,Monica,5,negative,508,15,245,15,7,18,"00:07:43,921","00:07:47,924"
You Åf last kiss,Phoebe,4,neutral,508,16,245,16,7,18,"00:07:48,217","00:07:50,302"
Thank much coming back,Ross,3,positive,509,0,246,0,8,8,"00:17:17,119","00:17:19,162"
Oh good Åf Yeah I worried going uncomfortable,Mona,5,negative,509,1,246,1,8,8,"00:17:21,582","00:17:26,377"
Oh good Åf Yeah I worried going uncomfortable,Mona,5,negative,510,0,246,1,8,8,"00:17:21,582","00:17:26,377"
I know Mona hear,Rachel,4,neutral,510,1,246,2,8,8,"00:17:27,588","00:17:29,547"
First I Åf sorry father yelling I heard totally held,Rachel,4,neutral,510,2,246,3,8,8,"00:17:29,798","00:17:35,595"
You Åf gon na tell,Rachel,4,neutral,510,3,246,4,8,8,"00:17:35,763","00:17:37,555"
I know Mona hear,Rachel,4,neutral,511,0,246,2,8,8,"00:17:27,588","00:17:29,547"
First I Åf sorry father yelling I heard totally held,Rachel,4,neutral,511,1,246,3,8,8,"00:17:29,798","00:17:35,595"
You Åf gon na tell,Rachel,4,neutral,511,2,246,4,8,8,"00:17:35,763","00:17:37,555"
Okay UmÅcBut Okay yes Ross I used date And yes gon na baby But,Rachel,4,neutral,511,4,246,6,8,8,"00:17:40,476","00:17:51,110"
All right Åf turkey,Joey,4,neutral,512,0,247,0,8,9,"00:20:39,780","00:20:42,531"
Joey Those maternity pants,Phoebe,6,negative,512,1,247,1,8,9,"0:20:47,204","0:20:49,346"
Not These Thanksgiving pants,Joey,3,positive,512,2,247,2,8,9,"0:20:49,346","0:20:52,602"
Oh would look Monica,Phoebe,3,positive,513,2,248,3,8,12,"00:03:13,067","00:03:14,902"
I knocked top scores sad,Phoebe,3,positive,513,3,248,4,8,12,"00:03:15,069","00:03:17,112"
Okay I Åf next Don Åf Don Åf start another game I said I Åf next Phoebe,Monica,0,negative,513,4,248,5,8,12,"00:03:18,448","00:03:23,410"
Oh I Åf sorry I Åf hear winning,Phoebe,3,positive,513,5,248,6,8,12,"00:03:23,578","00:03:26,830"
Chandler Phoebe Åf hogging game,Monica,0,negative,513,6,248,7,8,12,"00:03:27,624","00:03:31,210"
Remember I leave room day roast chicken,Rachel,4,neutral,514,0,249,0,8,9,"00:02:03,123","00:02:06,041"
Yeah But I thought I put whole thing hand made walk across table,Joey,4,neutral,514,1,249,1,8,9,"00:02:06,209","00:02:14,967"
But got ta turkey Thanksgiving,Joey,3,positive,514,2,249,3,8,9,"00:02:17,262","00:02:19,555"
I mean Thanksgiving turkey like-like Fourth July apple pie,Joey,5,negative,514,3,249,4,8,9,"00:02:19,722","00:02:24,685"
Or Friday two pizzas,Joey,5,negative,514,4,249,5,8,9,"00:02:24,853","00:02:28,105"
That Åf right,Joey,3,positive,514,5,249,9,8,9,"0:02:39,784","0:02:40,535"
Cause I Åf Tribbiani,Joey,3,positive,514,6,249,10,8,9,"0:02:40,535","0:02:42,371"
Yeah But I thought I put whole thing hand made walk across table,Joey,4,neutral,515,0,249,1,8,9,"00:02:06,209","00:02:14,967"
Anyway Åf seem worth make whole turkey three people Okay It Åf lot work,Monica,4,neutral,515,1,249,2,8,9,"00:02:12,090","00:02:17,010"
But got ta turkey Thanksgiving,Joey,3,positive,515,2,249,3,8,9,"00:02:17,262","00:02:19,555"
I mean Thanksgiving turkey like-like Fourth July apple pie,Joey,5,negative,515,3,249,4,8,9,"00:02:19,722","00:02:24,685"
Or Friday two pizzas,Joey,5,negative,515,4,249,5,8,9,"00:02:24,853","00:02:28,105"
All right fine If means much But Åf gon na ton left,Monica,5,negative,515,5,249,6,8,9,"00:02:29,149","00:02:32,734"
No Åf I promise I finish turkey,Joey,3,positive,515,6,249,7,8,9,"00:02:32,902","00:02:35,487"
All right Åf telling eat entire turkey one sitting,Monica,4,neutral,515,7,249,8,8,9,"00:02:35,697","00:02:39,616"
That Åf right,Joey,3,positive,515,8,249,9,8,9,"0:02:39,784","0:02:40,535"
Cause I Åf Tribbiani,Joey,3,positive,515,9,249,10,8,9,"0:02:40,535","0:02:42,371"
Wow It 's huge It 's much bigger cubicle Oh cube,Phoebe,6,positive,516,0,250,0,1,15,"00:14:57,771","00:15:05,945"
Oh You window,Phoebe,6,positive,516,2,250,2,1,15,"00:15:11,285","00:15:13,661"
Yes indeedy With beautiful view,Chandler,3,positive,516,3,250,3,1,15,"00:15:14,496","00:15:20,335"
Oh look That guy 's peeing,Phoebe,6,positive,516,4,250,4,1,15,"00:15:15,998","00:15:20,335"
Oh look That guy 's peeing,Phoebe,6,positive,517,0,250,4,1,15,"00:15:15,998","00:15:20,335"
Y'know I left hand Would please help,Rachel,0,negative,519,0,251,0,3,21,"00:11:38,197","00:11:45,328"
Okay Let Åf use brush,Rachel,4,neutral,519,1,251,1,3,21,"00:11:52,211","00:11:55,422"
Okay This stuff,Ross,4,neutral,519,2,251,2,3,21,"00:11:55,000","00:11:57,632"
Careful Light Okay know sweep across lid Okay Just sweep,Rachel,4,neutral,519,5,251,5,3,21,"00:11:57,800","00:12:03,596"
Y'know I left hand Would please help,Rachel,0,negative,520,0,251,0,3,21,"00:11:38,197","00:11:45,328"
Okay Let Åf use brush,Rachel,4,neutral,520,1,251,1,3,21,"00:11:52,211","00:11:55,422"
Careful Light Okay know sweep across lid Okay Just sweep,Rachel,4,neutral,520,2,251,5,3,21,"00:11:57,800","00:12:03,596"
Where exactly zoo,Ross,4,neutral,521,0,252,0,1,21,"00:14:10,182","00:14:11,891"
Well 's technically zoo per se 's interactive wildlife experience,Dr. Baldhara,4,neutral,521,1,252,1,1,21,"00:14:12,059","00:14:17,730"
Let ask questions uh Marcel,Dr. Baldhara,4,neutral,521,2,252,2,1,21,"00:14:18,691","00:14:21,317"
Does uh fight animals,Dr. Baldhara,4,neutral,521,4,252,4,1,21,"00:14:23,237","00:14:25,238"
No-no 's 's docile,Ross,4,neutral,521,5,252,5,1,21,"00:14:26,240","00:14:28,324"
Even ... cornered,Dr. Baldhara,4,neutral,521,6,252,6,1,21,"00:14:28,492","00:14:31,744"
Well I I n't know Why,Ross,4,neutral,521,7,252,7,1,21,"00:14:34,790","00:14:37,250"
Uh handling small objects,Dr. Baldhara,4,neutral,521,8,252,8,1,21,"00:14:37,418","00:14:40,461"
He hold banana 's whatcha mean,Ross,4,neutral,521,9,252,9,1,21,"00:14:41,714","00:14:44,340"
How hammer small blade,Dr. Baldhara,4,neutral,521,10,252,10,1,21,"00:14:45,676","00:14:48,469"
Otherwise 's cruel,Dr. Baldhara,4,neutral,521,11,252,13,1,21,"00:15:00,608","00:15:02,901"
He 's Oh hear Marcel San Diego San Diego,Ross,3,positive,521,12,252,17,1,21,"00:15:12,995","00:15:19,584"
You 're making big mistake,Dr. Baldhara,1,negative,521,13,252,18,1,21,"00:15:19,752","00:15:22,879"
I mean San Diego 's well good give I 'll start blind rabbit give twenty percent gains,Dr. Baldhara,4,neutral,521,14,252,19,1,21,"00:15:23,047","00:15:28,551"
Well 's technically zoo per se 's interactive wildlife experience,Dr. Baldhara,4,neutral,522,0,252,1,1,21,"00:14:12,059","00:14:17,730"
Let ask questions uh Marcel,Dr. Baldhara,4,neutral,522,1,252,2,1,21,"00:14:18,691","00:14:21,317"
How hammer small blade,Dr. Baldhara,4,neutral,522,2,252,10,1,21,"00:14:45,676","00:14:48,469"
Otherwise 's cruel,Dr. Baldhara,4,neutral,522,3,252,13,1,21,"00:15:00,608","00:15:02,901"
He- he- got he- got San Diego,Joey,3,positive,522,4,252,14,1,21,"00:15:05,654","00:15:08,702"
We come back walk the- phone ringing,Joey,4,neutral,522,5,252,15,1,21,"00:15:09,575","00:15:12,857"
You 're making big mistake,Dr. Baldhara,1,negative,522,6,252,18,1,21,"00:15:19,752","00:15:22,879"
I mean San Diego 's well good give I 'll start blind rabbit give twenty percent gains,Dr. Baldhara,4,neutral,522,7,252,19,1,21,"00:15:23,047","00:15:28,551"
He- he- got he- got San Diego,Joey,3,positive,523,0,252,14,1,21,"00:15:05,654","00:15:08,702"
We come back walk the- phone ringing,Joey,4,neutral,523,1,252,15,1,21,"00:15:09,575","00:15:12,857"
He 's Oh hear Marcel San Diego San Diego,Ross,3,positive,524,1,252,17,1,21,"00:15:12,995","00:15:19,584"
My specimen room I want thank whoever knocked door I,Chandler,4,neutral,525,0,253,0,9,21,"00:17:29,256","00:17:35,720"
Really helped speed process along,Chandler,3,positive,525,1,253,1,9,21,"00:17:35,888","00:17:38,014"
You 're ... gone,Chandler,6,positive,525,3,253,3,9,21,"0:17:42,061","0:17:43,811"
Sid still room,Janice,4,neutral,525,4,253,4,9,21,"00:17:44,938","00:17:46,230"
I n't allow porn home like vacation,Janice,3,positive,525,5,253,5,9,21,"00:17:46,398","00:17:50,777"
Did make deposit,Janice,4,neutral,525,7,253,7,9,21,"0:17:53,658","0:17:55,034"
Yeah yeah ... The hard part,Chandler,3,positive,525,8,253,8,9,21,"00:17:55,157","00:17:59,452"
That 's hard part honey The hard part comes next I mean n't worried results,Janice,2,negative,525,9,253,9,9,21,"00:17:59,620","00:18:04,165"
I n't ... I n't even thought results yet ... I assumed everything gon na ok,Chandler,3,positive,525,10,253,10,9,21,"00:18:04,374","00:18:09,337"
Oh Well know It probably,Janice,4,neutral,525,11,253,11,9,21,"00:18:09,505","00:18:11,798"
Phoebe 's purse,Monica,2,negative,526,0,254,0,9,17,"00:09:52,246","00:09:54,623"
You ca n't,Phoebe,0,negative,526,2,254,2,9,17,"0:09:59,003","0:10:00,715"
I 'll go,Monica,0,negative,526,5,254,5,9,17,"0:10:05,176","0:10:06,358"
Damn Monica Geller hyphen Bing,Phoebe,0,negative,526,9,254,9,9,17,"00:10:15,144","00:10:17,480"
What wrong Oh god I sex somebody n't alive Bicentennial,Monica,1,negative,527,0,255,0,1,22,"00:12:32,084","00:12:38,965"
Ethan focus How could tell,Monica,6,negative,527,2,255,2,1,22,"00:12:45,181","00:12:48,516"
Well never told old,Young Ethan,4,neutral,527,3,255,3,1,22,"00:12:48,684","00:12:51,352"
Well 's different My lie n't make one us felon 48 states What thinking,Monica,1,negative,527,4,255,4,1,22,"00:12:51,520","00:12:59,527"
I n't thinking I busy fallin,Young Ethan,3,positive,527,5,255,5,1,22,"00:12:56,442","00:12:59,527"
Do n't say,Monica,2,negative,527,6,255,6,1,22,"0:12:59,695","0:13:00,747"
You know n't even 's school night,Monica,0,negative,527,11,255,11,1,22,"00:13:09,330","00:13:12,749"
Oh god oh god,Monica,3,positive,527,12,255,12,1,22,"00:13:14,752","00:13:16,669"
I 'm like women see shiny guys named Chad,Monica,1,negative,527,13,255,13,1,22,"00:13:16,837","00:13:22,091"
I 'm Joan Collins,Monica,1,negative,527,14,255,14,1,22,"00:13:24,845","00:13:27,055"
That Åf right still baby Come people Please make room,Rachel,5,negative,528,0,256,0,8,22,"00:01:08,890","00:01:14,437"
Uh sweetie maybe Åf comfortable,Ross,4,neutral,528,1,256,1,8,22,"00:01:14,604","00:01:19,025"
You Like Åf done enough,Rachel,0,negative,528,2,256,2,8,22,"00:01:20,193","00:01:27,408"
Look I-I know miserable I wish something I,Ross,4,neutral,528,3,256,3,8,22,"00:01:28,576","00:01:32,914"
I mean I wish I seahorse,Ross,4,neutral,528,4,256,4,8,22,"00:01:33,081","00:01:35,208"
Because seahorses Åf male carry babies,Ross,4,neutral,528,5,256,5,8,22,"00:01:38,920","00:01:43,049"
And also umm I Åf far away sea,Ross,0,negative,528,6,256,6,8,22,"00:01:45,802","00:01:49,556"
God I never uncomfortable entire life,Rachel,3,positive,528,7,256,7,8,22,"00:02:04,404","00:02:09,659"
Oh Phoebe Åf great story,Rachel,4,neutral,528,8,256,9,8,22,"0:02:12,453","0:02:13,955"
Can tell Åf getting iced tea,Rachel,5,negative,528,9,256,10,8,22,"0:02:13,955","0:02:16,500"
Oh God get,Rachel,0,negative,528,10,256,11,8,22,"0:02:20,295","0:02:21,630"
God I never uncomfortable entire life,Rachel,3,positive,529,0,256,7,8,22,"00:02:04,404","00:02:09,659"
Oh I know I Åf I remember toward end,Phoebe,4,neutral,529,1,256,8,8,22,"00:02:09,909","00:02:12,287"
Oh Phoebe Åf great story,Rachel,4,neutral,529,2,256,9,8,22,"0:02:12,453","0:02:13,955"
Can tell Åf getting iced tea,Rachel,5,negative,529,3,256,10,8,22,"0:02:13,955","0:02:16,500"
Oh God get,Rachel,0,negative,529,4,256,11,8,22,"0:02:20,295","0:02:21,630"
Oh Phoebe Åf great story,Rachel,4,neutral,530,0,256,9,8,22,"0:02:12,453","0:02:13,955"
Can tell Åf getting iced tea,Rachel,5,negative,530,1,256,10,8,22,"0:02:13,955","0:02:16,500"
Oh God get,Rachel,0,negative,530,2,256,11,8,22,"0:02:20,295","0:02:21,630"
All right I know I know Yeah Åf okay,Joey,3,positive,531,0,257,0,8,12,"00:20:39,821","00:20:47,286"
Oh GodÅc.What Åf gon na,Rachel,2,negative,531,1,257,1,8,12,"0:20:47,537","0:20:50,165"
I Åf watch,Rachel,2,negative,531,2,257,2,8,12,"0:20:50,165","0:20:51,542"
Aren Åf scared,Rachel,2,negative,531,5,257,5,8,12,"0:20:57,798","0:20:57,936"
Umm listen 's something I think know,Monica,4,neutral,532,1,258,1,5,3,"00:07:19,021","00:07:21,523"
Oh you-you dating nurse,Chandler,6,positive,532,2,258,2,5,3,"00:07:21,732","00:07:24,734"
Yeah Joey already told I so-so fine,Chandler,4,neutral,532,3,258,3,5,3,"00:07:21,732","00:07:28,613"
I mean I 're y'know 're nothing 're goofin around,Chandler,4,neutral,532,4,258,4,5,3,"00:07:24,986","00:07:28,613"
Umm actually I tell I I going get hey 're goofing around uh maybe I,Monica,4,neutral,532,5,258,5,5,3,"00:07:28,781","00:07:42,085"
Fine Maybe I,Chandler,3,positive,532,6,258,6,5,3,"00:07:42,295","00:07:44,379"
Well quite large I-I-I-I-I throw away,Dr. Leedbetter,2,negative,533,0,259,0,5,9,"00:13:22,676","00:13:26,095"
You-you-you-you threw sandwich away,Ross,2,negative,533,1,259,1,5,9,"00:13:28,098","00:13:30,850"
What Åf matter Pheebs,Joey,4,neutral,534,0,260,0,3,25,"00:14:19,692","00:14:21,109"
She cancelled My namesake cancelled,Phoebe,0,negative,534,1,260,1,3,25,"00:14:21,277","00:14:23,736"
Yeah clamed go town suddenly,Phoebe,5,negative,534,3,260,3,3,25,"0:14:26,496","0:14:26,636"
She Åf avoiding Åf want tell Father,Phoebe,5,negative,534,4,260,4,3,25,"00:14:26,740","00:14:30,118"
She knows Åf tell,Phoebe,5,negative,534,5,260,5,3,25,"00:14:30,286","00:14:31,536"
Yeah clamed go town suddenly,Phoebe,5,negative,535,0,260,3,3,25,"0:14:26,496","0:14:26,636"
She Åf avoiding Åf want tell Father,Phoebe,5,negative,535,1,260,4,3,25,"00:14:26,740","00:14:30,118"
She knows Åf tell,Phoebe,5,negative,535,2,260,5,3,25,"00:14:30,286","00:14:31,536"
Aww Pheebs sucks,Rachel,5,negative,535,3,260,6,3,25,"00:14:31,704","00:14:33,872"
Yeah well Åf Åg Aww Pheebs sucks Åh yet,Phoebe,5,negative,535,4,260,7,3,25,"00:14:31,704","00:14:38,751"
Yeah clamed go town suddenly,Phoebe,5,negative,536,0,260,3,3,25,"0:14:26,496","0:14:26,636"
She Åf avoiding Åf want tell Father,Phoebe,5,negative,536,1,260,4,3,25,"00:14:26,740","00:14:30,118"
She knows Åf tell,Phoebe,5,negative,536,2,260,5,3,25,"00:14:30,286","00:14:31,536"
Yeah well Åf Åg Aww Pheebs sucks Åh yet,Phoebe,5,negative,536,3,260,7,3,25,"00:14:31,704","00:14:38,751"
Where ya going,Chandler,4,neutral,536,4,260,8,3,25,"00:14:38,919","00:14:40,962"
Well Åf town Åf got ta something house tells Father,Phoebe,4,neutral,536,5,260,9,3,25,"00:14:38,919","00:14:44,507"
Yeah clamed go town suddenly,Phoebe,5,negative,537,0,260,3,3,25,"0:14:26,496","0:14:26,636"
She Åf avoiding Åf want tell Father,Phoebe,5,negative,537,1,260,4,3,25,"00:14:26,740","00:14:30,118"
She knows Åf tell,Phoebe,5,negative,537,2,260,5,3,25,"00:14:30,286","00:14:31,536"
Well Åf town Åf got ta something house tells Father,Phoebe,4,neutral,537,3,260,9,3,25,"00:14:38,919","00:14:44,507"
Uh Pheebs people call breaking entering,Ross,2,negative,537,4,260,10,3,25,"00:14:44,675","00:14:47,927"
Oh God I,Phoebe,6,positive,538,0,261,0,4,1,"00:19:06,395","00:19:07,854"
I knew wow,Phoebe Sr.,6,positive,538,1,261,1,4,1,"00:19:08,021","00:19:10,064"
Wait-wait-wait wait Puppies Cute ugly,Phoebe,4,neutral,538,2,261,2,4,1,"00:19:10,232","00:19:12,108"
Uh-huh well But umm still I Åf m-I Åf mad,Phoebe,0,negative,538,4,261,4,4,1,"00:19:14,486","00:19:19,866"
I know I Åf mad,Phoebe Sr.,0,negative,538,5,261,5,4,1,"00:19:20,242","00:19:24,579"
Well umm wan na get something eat I Åf kinda hungry,Phoebe,4,neutral,538,6,261,6,4,1,"00:19:26,248","00:19:30,585"
All right stop Now Åf freak,Phoebe,5,negative,538,8,261,8,4,1,"00:19:32,713","00:19:35,965"
It 's like pulling Band-aid,Phoebe,4,neutral,539,1,262,1,1,5,"0:15:20,932","0:15:22,719"
Just really fast wound exposed,Phoebe,4,neutral,539,2,262,2,1,5,"00:15:22,922","00:15:26,925"
Janice Hi Janice Ok go I n't think go anymore Janice,Chandler,5,negative,539,3,262,3,1,5,"0:15:27,176","0:15:42,448"
Janice Hi Janice Ok go I n't think go anymore Janice,Chandler,5,negative,540,0,262,3,1,5,"0:15:27,176","0:15:42,448"
All right Well go Stop stop stop,Janice,0,negative,540,1,262,4,1,5,"0:15:42,448","0:15:42,793"
Oh God That guy counter totally checking,Phoebe,6,positive,541,0,263,0,7,18,"00:04:01,658","00:04:05,327"
Really My God Åf really cute,Monica,6,positive,541,1,263,1,7,18,"00:04:01,658","00:04:07,496"
Phoebe I Åf engaged,Monica,6,positive,541,3,263,3,7,18,"00:04:12,210","00:04:13,961"
I Åf saying get number case,Phoebe,4,neutral,541,4,263,4,7,18,"00:04:14,128","00:04:16,797"
But : Chandler accident Åf perform sexually would want take lover satisfy needs longer fulfill,Phoebe,4,neutral,541,5,263,5,7,18,"00:04:22,720","00:04:33,063"
