,Utterance,Speaker,Emotion,Dialogue_ID,Utterance_ID
2376,well gotten judy pregnant still know happened,Mr. Geller,3,440,0
2377,know happened dog thought diaphragm chew toy,Mrs. Geller,1,440,1
2378,sweet story,Chandler,4,441,0
2379,well least hearing first time fifth grade halloween party,Monica,1,441,1
2380,anyway really excited wedding plan well guess pretty soon making big withdrawal monica wedding fund,Monica,3,441,2
2381,well least hearing first time fifth grade halloween party,Monica,1,442,0
2382,wanted scary story,Mr. Geller,6,442,1
2383,anyway really excited wedding plan well guess pretty soon making big withdrawal monica wedding fund,Monica,3,442,2
2384,happened still monica wedding fund,Monica,6,442,4
2385,call beach house,Mr. Geller,4,442,5
2386,anyway really excited wedding plan well guess pretty soon making big withdrawal monica wedding fund,Monica,3,443,0
2387,tell jack,Mrs. Geller,2,443,2
2388,happened still monica wedding fund,Monica,6,443,3
2389,applying waxine linen strip leg number one,Phoebe,4,444,0
2390,grasp one linen strip easy grab tab pull one quick pain free motion,Phoebe,4,444,2
2391,okay ow,Monica,6,444,3
2392,painful oh god call little wax,Monica,1,444,5
2393,huh well girl satin nightie commercial seem think bad,Phoebe,4,444,6
2394,nerve probably deadened stupid,Monica,0,444,7
2395,hey believe please guest,Monica,4,444,8
2396,oh god,Phoebe,6,444,9
2397,umm remember still learning,Ross,4,445,0
2398,one two three four,Ross,4,445,1
2399,know song sing along,Ross,3,445,2
2400,oh god david,Phoebe,6,446,0
2401,david,Monica,4,446,1
2402,david scientist guy david love david went russia broke heart david,Phoebe,5,446,2
2403,david scientist guy david love david went russia broke heart david,Phoebe,5,447,0
2404,oh god,David,6,447,1
2405,oh say someone name enough turn around,Phoebe,4,447,2
2406,phoebe,David,6,447,3
2407,david supposed russia,Phoebe,6,447,4
2408,yeah town conference umm,David,4,447,5
2409,yeah look great get haircut,Phoebe,3,447,6
2410,yeah well got like thirty,David,4,447,7
2411,yeah,Phoebe,4,447,8
2412,hey uh really really sorry happened cafeteria today,Ross,5,448,0
2413,big deal hey know got ta right,Joey,4,448,1
2414,hey mean scientist tour guide,Ross,4,448,2
2415,okay mon back,Ross,4,449,0
2416,work uh waiter eat waiter right,Ross,4,449,1
2417,chef eat chef right,Ross,4,449,2
2418,eat alley everybody hate,Monica,5,449,3
2419,eat alley everybody hate,Monica,5,450,0
2420,look ross really big deal,Joey,4,450,1
2421,know wear white coat wear blue blazer mean friend work,Joey,5,450,2
2422,know hey understand,Joey,4,450,3
2423,know,Joey,4,450,4
2424,hey play audience talk right,Joey,4,450,5
2425,know uh cool,Joey,4,450,6
2426,see tomorrow,Joey,4,450,7
2427,look ross really big deal,Joey,4,451,0
2428,know wear white coat wear blue blazer mean friend work,Joey,5,451,1
2429,know hey understand,Joey,4,451,2
2430,know,Joey,4,451,3
2431,hey play audience talk right,Joey,4,451,4
2432,know uh cool,Joey,4,451,5
2433,see tomorrow,Joey,4,451,6
2434,yeah audience talk u wave,Rachel,4,451,7
2435,look like idiot,Chandler,3,452,0
2436,hey one looked like idiot,Joey,4,452,1
2437,right,Joey,4,452,2
2438,remember ross tried say butternut squash,Joey,3,452,3
2439,came squatternut buash,Joey,3,452,4
2440,oh come monica reliving past pain getting depressed thanksgiving,Chandler,4,452,5
2441,anyway,Chandler,5,452,6
2442,course indian,Chandler,5,452,7
2443,hey one looked like idiot,Joey,4,453,0
2444,right,Joey,4,453,1
2445,remember ross tried say butternut squash,Joey,3,453,2
2446,came squatternut buash,Joey,3,453,3
2447,yeah,Ross,4,453,4
2448,yeah,Ross,4,454,0
2449,worse thanksgiving,Monica,5,454,1
2450,worse thanksgiving,Monica,5,455,0
2451,oh wait ca one rachel talking even know happened one,Phoebe,4,455,1
2452,umm really want tell story,Monica,5,455,2
2453,umm really want tell story,Monica,5,456,0
2454,oh come monica reliving past pain getting depressed thanksgiving,Chandler,4,456,1
2455,anyway,Chandler,5,456,2
2456,course indian,Chandler,5,456,3
2457,look umm people want tell story,Monica,0,456,4
2458,hi guy,Phoebe,4,457,0
2459,hi phoebe,Rachel,3,457,1
2460,wanted apologise know seemed tad edgy yesterday shower know hormone know,Phoebe,5,457,2
2461,hi phoebe,Rachel,3,458,0
2462,hi phoebe,Monica,4,458,1
2463,hormone,Monica,4,458,3
2464,hormone yeah,Rachel,4,458,4
2465,hi phoebe,Monica,4,459,0
2466,wanted apologise know seemed tad edgy yesterday shower know hormone know,Phoebe,5,459,1
2467,parent,Rachel,4,460,0
2468,yeah town,Joshua,4,460,1
2469,ohh,Rachel,6,460,2
2470,yeah work,Rachel,4,460,4
2471,smell fear,Joshua,2,460,5
2472,bing ho,Doug,3,461,0
2473,honey remember bos doug right,Chandler,4,461,1
2474,hi good news divorce final signed paper,Doug,3,461,2
2475,know carol getting divorced sorry,Chandler,5,461,3
2476,sorry finally chewed leg bear trap hey congratulation guy though,Doug,3,461,4
2477,oh well give time,Doug,4,461,5
2478,divorce marriage got lot celebrate,Doug,3,461,6
2479,go dinner tomorrow night,Doug,4,461,7
2480,tomorrow night court six,Doug,3,461,8
2481,keep throwing sexual harassment case keep knocking park,Doug,3,461,9
2482,honey remember bos doug right,Chandler,4,462,0
2483,yes hi,Monica,4,462,1
2484,okay see tomorrow,Monica,3,462,2
2485,know seeing tomorrow,Monica,4,462,3
2486,spend another evening man,Monica,1,462,4
2487,remember behaved wedding,Monica,1,462,5
2488,invited way behaved engagement party,Monica,1,462,7
2489,oh yeah boy urine cut,Chandler,1,462,8
2490,yes hi,Monica,4,463,0
2491,hi good news divorce final signed paper,Doug,3,463,1
2492,sorry finally chewed leg bear trap hey congratulation guy though,Doug,3,463,2
2493,u sir,Monica,4,463,3
2494,oh well give time,Doug,4,463,4
2495,divorce marriage got lot celebrate,Doug,3,463,5
2496,go dinner tomorrow night,Doug,4,463,6
2497,tomorrow night court six,Doug,3,463,7
2498,keep throwing sexual harassment case keep knocking park,Doug,3,463,8
2499,okay see tomorrow,Monica,3,463,9
2500,know seeing tomorrow,Monica,4,463,10
2501,spend another evening man,Monica,1,463,11
2502,remember behaved wedding,Monica,1,463,12
2503,maybe like wan na whole duck care got leg,Emeril,4,464,0
2504,many time told guy,Chandler,4,464,1
2505,expect week,Chandler,4,464,2
2506,umm hey umm joey gon na telethon rest day whole place,Chandler,4,464,3
2507,many time told guy,Chandler,4,465,0
2508,hi chandler,Monica,4,465,1
2509,hey,Chandler,4,465,2
2510,uh listen need broiling pan joey borrowed day,Monica,4,465,3
2511,oh uh yeah used duck throwing caterpillar,Chandler,5,465,4
2512,william sonoma,Monica,4,465,5
2513,expect week,Chandler,4,465,6
2514,umm hey umm joey gon na telethon rest day whole place,Chandler,4,465,7
2515,yeah,Monica,4,465,8
2516,well thought maybe wan na book time best ever,Chandler,4,465,9
2517,champ think pas,Monica,4,465,10
2518,point,Chandler,4,465,13
2519,uh name,Joey,4,466,0
2520,jake,Man,4,466,1
2521,joey hey jake like knicks,Joey,4,466,2
2522,joey hey jake like knicks,Joey,4,467,0
2523,yeah big fan,Jake,4,467,1
2524,game tuesday wan na go,Joey,3,467,2
2525,yeah would great let make sure anything tuesday,Jake,3,467,3
2526,ugh ross,Carol,1,468,0
2527,hi sorry late sleeping,Ross,4,468,1
2528,ahh nooo,Carol,3,468,2
2529,oh great,Ross,3,468,3
2530,listen oh get whole new battery,Ross,4,468,4
2531,got best one could cause want skimp,Ross,4,468,5
2532,genius ross,Carol,3,468,6
2533,yeah well came hell call even,Ross,4,468,7
2534,okay pay tomorrow,Carol,4,468,8
2535,ah took pretty hard watching go,Ross,5,468,9
2536,yeah okay bye,Carol,4,468,10
2537,gon na take,Ross,4,468,11
2538,hey oh right tonight party,Rachel,6,469,0
2539,oh wow look great glad could make,Danny,3,469,1
2540,oh well gala end sometime,Rachel,4,469,2
2541,go anywhere right back,Danny,4,469,3
2542,yeah sure right whose court ball,Rachel,4,469,4
2543,oh come glad came want go anywhere ball flying place,Rachel,4,469,5
2544,rachel friend tom,Danny,4,469,6
2545,oh go telling people,Rachel,6,469,7
2546,two could really hit gon na go mingle,Danny,3,469,8
2547,yeah yeah go talk friend tell nice try,Rachel,1,469,9
2548,man keep lobbing keep knocking right park,Rachel,3,469,10
2549,yeah sure right whose court ball,Rachel,4,470,0
2550,thought ball,Monica,4,470,1
2551,oh come glad came want go anywhere ball flying place,Rachel,4,470,2
2552,yeah yeah go talk friend tell nice try,Rachel,1,470,3
2553,man keep lobbing keep knocking right park,Rachel,3,470,4
2554,think need drink,Monica,4,470,5
2555,yeah,Rachel,3,470,6
2556,two could really hit gon na go mingle,Danny,3,471,0
2557,work,Tom,4,471,1
2558,work,Tom,4,472,0
2559,yeah okay ease solider,Rachel,4,472,1
2560,sorry,Tom,6,472,2
2561,right drop act tommy,Rachel,4,472,3
2562,gon na go talk uh friend,Tom,5,472,4
2563,yeah yeah go talk friend tell nice try,Rachel,1,472,5
2564,man keep lobbing keep knocking right park,Rachel,3,472,6
2565,ca talk fancy ad yellow page,Phoebe,0,473,0
2566,look pheebs wan na apologize saying method stupid maybe ask teacher,Joey,5,473,1
2567,promise wo touch guitar say ready,Joey,4,473,2
2568,really think ready,Joey,6,473,3
2569,wow cool,Joey,3,473,5
2570,chord least right,Joey,4,473,6
2571,well fun,Jill,4,474,0
2572,yes yes thanks letting use phone saving life,Chandler,3,474,1
2573,well goodbye chandler great blackout see ya,Jill,4,474,2
2574,hi um account number,Chandler,4,474,3
2575,uh know got would really like copy tape,Chandler,4,474,4
2576,beginning see lot layering sheer fabric colour instance sheer navy blouse pink,Lecturer,4,475,0
2577,really glad came pretty love,Ross,3,475,1
2578,okay fire oh yeah oh yeah,Ross,4,476,0
2579,excuse sorry gon na call back got schemp office,Rachel,4,476,1
2580,sorry,Ross,4,476,3
2581,ah hey oh somebody phone bout glass wine fire could get going,Ross,4,476,4
2582,ross listening time stop,Rachel,4,476,5
2583,come rach ten minute,Ross,4,476,6
2584,ten minute,Rachel,0,476,7
2585,sophie ten minute,Ross,4,476,8
2586,hey ross told,Rachel,0,476,9
2587,yell okay seen week,Ross,5,476,10
2588,look right okay got deadline would go home talk later,Rachel,4,476,11
2589,yeah wait,Ross,4,476,12
2590,good bye,Rachel,4,476,13
2591,excuse sorry gon na call back got schemp office,Rachel,4,477,0
2592,good bye,Rachel,4,477,2
2593,actually three hole punch,Sophie,4,477,3
2594,oh yeah,Monica,6,478,0
2595,tell,Chandler,4,478,1
2596,neither one u married say get together one,Chandler,4,478,2
2597,wo married,Monica,6,478,3
2598,oh meant hypothetically,Chandler,4,478,4
2599,ok hypothetically wo married,Monica,0,478,5
2600,something fundamentally unmarriable,Monica,0,478,7
2601,uh uh,Chandler,4,478,8
2602,well,Monica,6,478,9
2603,dear god parachute knapsack,Chandler,6,478,10
2604,tell,Chandler,4,479,0
2605,neither one u married say get together one,Chandler,4,479,1
2606,dear god parachute knapsack,Chandler,6,479,2
2607,hey,Rachel,4,479,3
2608,well supposed baby need,Rachel,6,479,4
2609,rachel deal doctor anyway like father doctor,Chandler,4,479,5
2610,yeah,Rachel,4,479,6
2611,reason,Chandler,4,479,7
2612,hey,Rachel,4,480,0
2613,hey ooh look,Phoebe,6,480,1
2614,hey ooh look,Phoebe,6,481,0
2615,go home change,Monica,6,481,1
2616,go home change,Monica,6,482,0
2617,yeah well important day wan na look nice um uh franzblau,Rachel,4,482,1
2618,seen,Monica,4,482,2
2619,well supposed baby need,Rachel,6,482,3
2620,holiday armadillo friend santa sent wish merry christmas,Ross,3,483,0
2621,happened santa holiday armadillo,Monica,6,483,1
2622,yes yes please give,The Woman,3,484,0
2623,yeah,Chandler,4,484,1
2624,thank,The Woman,4,484,2
2625,know would work,Chandler,4,484,3
2626,stop making candy,Chandler,0,484,4
2627,mean like,Chandler,4,484,5
2628,thank,The Woman,4,485,0
2629,unbelievable believe sign work,Monica,6,485,1
2630,unbelievable believe sign work,Monica,6,486,0
2631,know would work,Chandler,4,486,1
2632,stop making candy,Chandler,0,486,2
2633,mean like,Chandler,4,486,3
2634,maybe,Monica,4,486,4
2635,became chef people would like,Chandler,6,486,5
2636,oh really want talk getting people like huh funny man,Monica,0,486,6
2637,platform ready dance world new millennium guy yelled cut,Monica,0,487,0
2638,uh wait guy telling actually routine eighth grade,Rachel,6,487,1
2639,yeah course update little bit hey way great thinking catching,Monica,3,487,2
2640,co gon na say way could done end way guy back,Rachel,3,487,3
2641,could,Monica,6,487,4
2642,could,Monica,6,488,0
2643,know mean lot bigger mean stronger back,Ross,3,488,1
2644,okay come let go,Monica,4,488,2
2645,okay come let go,Monica,4,489,0
2646,tv,Chandler,4,490,1
2647,hey,Joey,3,491,0
2648,guy market got uh scarf tulip post card,The Vendor,4,491,1
2649,check huh yeah stuff think,Joey,4,491,2
2650,oh yeah gon na make choose hat choose hat,Joey,4,491,3
2651,good choice,The Vendor,0,491,4
2652,thanks,Joey,3,491,5
2653,check huh yeah stuff think,Joey,4,492,0
2654,well buy stupid anymore,Chandler,4,492,1
2655,well like go,Joey,4,492,2
2656,right look really gon na buy think embarrassed enough one day,Chandler,0,492,3
2657,oh embarrass,Joey,6,492,4
2658,answer pretending know,Chandler,4,492,5
2659,oh really come one wearing,Chandler,4,492,6
2660,right look insist wearing public know gon na spend rest afternoon,Chandler,1,492,7
2661,oh yeah gon na make choose hat choose hat,Joey,4,492,8
2662,thanks,Joey,3,492,9
2663,okay wait right okay going embarrassed anymore,Chandler,0,492,10
2664,answer pretending know,Chandler,4,493,0
2665,oh really come one wearing,Chandler,4,493,1
2666,tourist,The Vendor,4,493,2
2667,right look insist wearing public know gon na spend rest afternoon,Chandler,1,493,3
2668,empty vase huh,Monica,6,494,0
2669,read many important book write trick poem seem one thing actually something else,Monica,0,494,2
2670,get excited stupid stuff like,Monica,4,494,3
2671,whoa whoa whoa,Julio,6,494,4
2672,even know,Monica,0,494,5
2673,whoa whoa whoa poem,Julio,6,494,6
2674,empty vase baby make sad would think,Julio,5,494,8
2675,sorry friend phoebe,Monica,5,494,9
2676,woman well american woman feel better,Julio,4,494,10
2677,oh yeah,Monica,4,494,11
2678,okay forward forward stop okay back stop okay forward stop stop stop,Ross,4,495,0
2679,okay gon na,Phoebe,4,495,1
2680,okay gon na break put neutral,Phoebe,4,495,2
2681,guy push forward ross drive spot,Phoebe,4,495,3
2682,okay,Phoebe,4,495,4
2683,right go,Phoebe,4,495,5
2684,haul as,Phoebe,4,495,6
2685,said year computer carry number function actual human brain,Ross,4,496,0
2686,theoretically could download thought memory computer,Ross,4,496,1
2687,live forever machine,Janine,3,496,2
2688,janine know know right,Ross,3,496,3
2689,interfacing,Ross,4,496,4
2690,yeah got ta go,Janine,2,496,5
2691,yeah got ta go,Janine,2,497,0
2692,ba dum bumb cheshhh,Chandler,3,497,1
2693,david help trying explain chandler plane stay air,Monica,4,498,0
2694,oh certainly combination bernoulli principle newton third law motion,David,4,498,1
2695,see,Monica,4,498,2
2696,see,Monica,4,499,0
2697,yeah something wind,Chandler,2,499,1
2698,alright gon na go pick thing trip,Monica,4,499,2
2699,alright gon na go pick thing trip,Monica,4,500,0
2700,oh go,Phoebe,4,500,1
2701,oh tomorrow guy wan na share cab airport mike meet,Phoebe,4,500,2
2702,oh mike sister invited party tonight gon na,Phoebe,0,501,0
2703,like oh worry,Phoebe,5,501,1
2704,asked,Phoebe,4,501,2
2705,totally ok seeing,Phoebe,0,501,3
2706,go think totally ok seeing,Phoebe,3,501,4
2707,totally hung,Rachel,0,501,5
2708,exactly,Phoebe,4,501,6
2709,gon na want eat heart gon na look fabulous,Rachel,4,501,7
2710,even think aaargh,Phoebe,0,501,8
2711,hey pheebs taking charlie shopping come help find something,Rachel,4,501,9
2712,ok great,Phoebe,3,501,10
2713,oh mike sister invited party tonight gon na,Phoebe,0,502,0
2714,like oh worry,Phoebe,5,502,1
2715,asked,Phoebe,4,502,2
2716,totally ok seeing,Phoebe,0,502,3
2717,go think totally ok seeing,Phoebe,3,502,4
2718,ok great,Phoebe,3,502,5
2719,oh ai nice three trying slutty lingerie together,Joey,1,502,6
2720,oh ai nice three trying slutty lingerie together,Joey,1,503,0
2721,gon na,Rachel,1,503,1
2722,would ruin hurtin,Joey,1,503,2
2723,julie hi chandler bing guess remember,Chandler,3,504,0
2724,hello skidmark,Julie,4,504,1
2725,nickname explain later,Chandler,4,504,2
2726,ah uh owe long overdue apology never broken overweight,Chandler,4,504,3
2727,broke,Julie,6,504,4
2728,know well guess work done,Chandler,5,504,5
2729,nickname explain later,Chandler,4,505,0
2730,pretty clear,Monica,4,505,1
2731,ah uh owe long overdue apology never broken overweight,Chandler,4,505,2
2732,ross excuse pardon excuse,Rachel,6,506,1
2733,hi everyone,Ross,4,507,0
2734,wanted thank uh little talk,Ross,4,507,1
2735,well going talked talked joey,Ross,4,507,2
2736,say,Rachel,2,507,3
2737,basically told get ya know,Ross,4,507,4
2738,though said though said well way get sex tonight,Ross,4,507,5
2739,oh great,Phoebe,3,508,0
2740,keep eye night every know kinda lean stroke hair touch neck,Phoebe,3,508,1
2741,okay stop phoebe getting tingly,Monica,3,508,2
2742,could think know gon na kiss gon na kiss,Phoebe,3,508,3
2743,lady monica kiss tell hickey speaks,Phoebe,3,508,5
2744,got got,Monica,4,508,6
2745,like much feel like drink today six,Phoebe,3,508,7
2746,oh feeling since first started going chandler,Monica,3,508,8
2747,wow never gon na feeling,Monica,5,508,9
2748,sound like guy,Phoebe,1,508,10
2749,guy would saying never gon na get sleep anyone else,Monica,1,508,11
2750,oh god,Monica,6,508,12
2751,never gon na get sleep anyone else,Monica,5,508,13
2752,busy planning wedding forgot thing giving,Monica,6,508,14
2753,mean never gon na first kiss,Monica,5,508,15
2754,last kiss,Phoebe,4,508,16
2755,thank much coming back,Ross,3,509,0
2756,oh good yeah worried going uncomfortable,Mona,5,509,1
2757,oh good yeah worried going uncomfortable,Mona,5,510,0
2758,know mona hear,Rachel,4,510,1
2759,first sorry father yelling heard totally held,Rachel,4,510,2
2760,gon na tell,Rachel,4,510,3
2761,know mona hear,Rachel,4,511,0
2762,first sorry father yelling heard totally held,Rachel,4,511,1
2763,gon na tell,Rachel,4,511,2
2764,focus,Ross,4,511,3
2765,okay okay yes ross used date yes gon na baby,Rachel,4,511,4
2766,right turkey,Joey,4,512,0
2767,joey maternity pant,Phoebe,6,512,1
2768,thanksgiving pant,Joey,3,512,2
2769,oh would look monica,Phoebe,3,513,2
2770,knocked top score sad,Phoebe,3,513,3
2771,okay next start another game said next phoebe,Monica,0,513,4
2772,oh sorry hear winning,Phoebe,3,513,5
2773,chandler phoebe hogging game,Monica,0,513,6
2774,remember leave room day roast chicken,Rachel,4,514,0
2775,yeah thought put whole thing hand made walk across table,Joey,4,514,1
2776,got ta turkey thanksgiving,Joey,3,514,2
2777,mean thanksgiving turkey fourth july apple pie,Joey,5,514,3
2778,friday two pizza,Joey,5,514,4
2779,right,Joey,3,514,5
2780,cause tribbiani,Joey,3,514,6
2781,eat,Joey,3,514,8
2782,yeah thought put whole thing hand made walk across table,Joey,4,515,0
2783,anyway seem worth make whole turkey three people okay lot work,Monica,4,515,1
2784,got ta turkey thanksgiving,Joey,3,515,2
2785,mean thanksgiving turkey fourth july apple pie,Joey,5,515,3
2786,friday two pizza,Joey,5,515,4
2787,right fine mean much gon na ton left,Monica,5,515,5
2788,promise finish turkey,Joey,3,515,6
2789,right telling eat entire turkey one sitting,Monica,4,515,7
2790,right,Joey,3,515,8
2791,cause tribbiani,Joey,3,515,9
2792,eat,Joey,3,515,11
2793,wow huge much bigger cubicle oh cube,Phoebe,6,516,0
2794,look,Chandler,3,516,1
2795,oh window,Phoebe,6,516,2
2796,yes indeedy beautiful view,Chandler,3,516,3
2797,oh look guy peeing,Phoebe,6,516,4
2798,oh look guy peeing,Phoebe,6,517,0
2799,hi,Monica,4,517,1
2800,hi,Monica,4,518,0
2801,hi,Rachel,4,518,1
2802,left hand would please help,Rachel,0,519,0
2803,okay let use brush,Rachel,4,519,1
2804,okay stuff,Ross,4,519,2
2805,yeah,Rachel,4,519,3
2806,right,Ross,4,519,4
2807,careful light okay know sweep across lid okay sweep,Rachel,4,519,5
2808,left hand would please help,Rachel,0,520,0
2809,okay let use brush,Rachel,4,520,1
2810,careful light okay know sweep across lid okay sweep,Rachel,4,520,2
2811,exactly zoo,Ross,4,521,0
2812,well technically zoo per se interactive wildlife experience,Dr. Baldhara,4,521,1
2813,let ask question uh marcel,Dr. Baldhara,4,521,2
2814,yes,Ross,4,521,3
2815,uh fight animal,Dr. Baldhara,4,521,4
2816,docile,Ross,4,521,5
2817,even cornered,Dr. Baldhara,4,521,6
2818,well know,Ross,4,521,7
2819,uh handling small object,Dr. Baldhara,4,521,8
2820,hold banana whatcha mean,Ross,4,521,9
2821,hammer small blade,Dr. Baldhara,4,521,10
2822,otherwise cruel,Dr. Baldhara,4,521,11
2823,oh hear marcel san diego san diego,Ross,3,521,12
2824,making big mistake,Dr. Baldhara,1,521,13
2825,mean san diego well good give start blind rabbit give twenty percent gain,Dr. Baldhara,4,521,14
2826,well technically zoo per se interactive wildlife experience,Dr. Baldhara,4,522,0
2827,let ask question uh marcel,Dr. Baldhara,4,522,1
2828,hammer small blade,Dr. Baldhara,4,522,2
2829,otherwise cruel,Dr. Baldhara,4,522,3
2830,got got san diego,Joey,3,522,4
2831,come back walk phone ringing,Joey,4,522,5
2832,making big mistake,Dr. Baldhara,1,522,6
2833,mean san diego well good give start blind rabbit give twenty percent gain,Dr. Baldhara,4,522,7
2834,got got san diego,Joey,3,523,0
2835,come back walk phone ringing,Joey,4,523,1
2836,oh hear marcel san diego san diego,Ross,3,524,1
2837,specimen room want thank whoever knocked door,Chandler,4,525,0
2838,really helped speed process along,Chandler,3,525,1
2839,janice,Chandler,6,525,2
2840,gone,Chandler,6,525,3
2841,sid still room,Janice,4,525,4
2842,allow porn home like vacation,Janice,3,525,5
2843,make deposit,Janice,4,525,7
2844,yeah yeah hard part,Chandler,3,525,8
2845,hard part honey hard part come next mean worried result,Janice,2,525,9
2846,even thought result yet assumed everything gon na ok,Chandler,3,525,10
2847,oh well know probably,Janice,4,525,11
2848,phoebe purse,Monica,2,526,0
2849,give,Monica,0,526,1
2850,ca,Phoebe,0,526,2
2851,give,Monica,0,526,3
2852,go,Monica,0,526,5
2853,oh yeah,Phoebe,0,526,6
2854,phoebe come,Monica,4,526,7
2855,haha,Monica,3,526,8
2856,damn monica geller hyphen bing,Phoebe,0,526,9
2857,wrong oh god sex somebody alive bicentennial,Monica,1,527,0
2858,sex,Young Ethan,4,527,1
2859,ethan focus could tell,Monica,6,527,2
2860,well never told old,Young Ethan,4,527,3
2861,well different lie make one u felon state thinking,Monica,1,527,4
2862,thinking busy fallin,Young Ethan,3,527,5
2863,say,Monica,2,527,6
2864,love,Young Ethan,3,527,7
2865,really,Monica,6,527,8
2866,sorry,Young Ethan,5,527,9
2867,well fall,Monica,0,527,10
2868,know even school night,Monica,0,527,11
2869,oh god oh god,Monica,3,527,12
2870,like woman see shiny guy named chad,Monica,1,527,13
2871,joan collins,Monica,1,527,14
2872,right still baby come people please make room,Rachel,5,528,0
2873,uh sweetie maybe comfortable,Ross,4,528,1
2874,like done enough,Rachel,0,528,2
2875,look know miserable wish something,Ross,4,528,3
2876,mean wish seahorse,Ross,4,528,4
2877,seahorse male carry baby,Ross,4,528,5
2878,also umm far away sea,Ross,0,528,6
2879,god never uncomfortable entire life,Rachel,3,528,7
2880,oh phoebe great story,Rachel,4,528,8
2881,tell getting iced tea,Rachel,5,528,9
2882,oh god get,Rachel,0,528,10
2883,get,Rachel,0,528,11
2884,get,Rachel,0,528,12
2885,get,Rachel,0,528,13
2886,god never uncomfortable entire life,Rachel,3,529,0
2887,oh know remember toward end,Phoebe,4,529,1
2888,oh phoebe great story,Rachel,4,529,2
2889,tell getting iced tea,Rachel,5,529,3
2890,oh god get,Rachel,0,529,4
2891,get,Rachel,0,529,5
2892,get,Rachel,0,529,6
2893,get,Rachel,0,529,7
2894,oh phoebe great story,Rachel,4,530,0
2895,tell getting iced tea,Rachel,5,530,1
2896,oh god get,Rachel,0,530,2
2897,get,Rachel,0,530,3
2898,get,Rachel,0,530,4
2899,get,Rachel,0,530,5
2900,let,Chandler,4,530,6
2901,right know know yeah okay,Joey,3,531,0
2902,oh gon na,Rachel,2,531,1
2903,watch,Rachel,2,531,2
2904,oh,Rachel,4,531,3
2905,seriously watch,Rachel,5,531,4
2906,scared,Rachel,2,531,5
2907,terrified,Joey,2,531,6
2908,umm listen something think know,Monica,4,532,1
2909,oh dating nurse,Chandler,6,532,2
2910,yeah joey already told fine,Chandler,4,532,3
2911,mean nothing goofin around,Chandler,4,532,4
2912,umm actually tell going get hey goofing around uh maybe,Monica,4,532,5
2913,fine maybe,Chandler,3,532,6
2914,well quite large throw away,Dr. Leedbetter,2,533,0
2915,threw sandwich away,Ross,2,533,1
2916,sandwich,Ross,0,533,2
2917,sandwich,Ross,0,533,3
2918,matter pheebs,Joey,4,534,0
2919,cancelled namesake cancelled,Phoebe,0,534,1
2920,yeah clamed go town suddenly,Phoebe,5,534,3
2921,avoiding want tell father,Phoebe,5,534,4
2922,know tell,Phoebe,5,534,5
2923,yeah clamed go town suddenly,Phoebe,5,535,0
2924,avoiding want tell father,Phoebe,5,535,1
2925,know tell,Phoebe,5,535,2
2926,aww pheebs suck,Rachel,5,535,3
2927,yeah well aww pheebs suck yet,Phoebe,5,535,4
2928,yeah clamed go town suddenly,Phoebe,5,536,0
2929,avoiding want tell father,Phoebe,5,536,1
2930,know tell,Phoebe,5,536,2
2931,yeah well aww pheebs suck yet,Phoebe,5,536,3
2932,ya going,Chandler,4,536,4
2933,well town got ta something house tell father,Phoebe,4,536,5
2934,yeah clamed go town suddenly,Phoebe,5,537,0
2935,avoiding want tell father,Phoebe,5,537,1
2936,know tell,Phoebe,5,537,2
2937,well town got ta something house tell father,Phoebe,4,537,3
2938,uh pheebs people call breaking entering,Ross,2,537,4
2939,well people,Phoebe,0,537,5
2940,oh god,Phoebe,6,538,0
2941,knew wow,Phoebe Sr.,6,538,1
2942,wait puppy cute ugly,Phoebe,4,538,2
2943,ohh cute,Phoebe Sr.,3,538,3
2944,well umm still mad,Phoebe,0,538,4
2945,know mad,Phoebe Sr.,0,538,5
2946,well umm wan na get something eat kinda hungry,Phoebe,4,538,6
2947,hey,Phoebe Sr.,6,538,7
2948,right stop freak,Phoebe,5,538,8
2949,ok,Phoebe,4,539,0
2950,like pulling,Phoebe,4,539,1
2951,really fast wound exposed,Phoebe,4,539,2
2952,janice hi janice ok go think go anymore janice,Chandler,5,539,3
2953,janice hi janice ok go think go anymore janice,Chandler,5,540,0
2954,right well go stop stop stop,Janice,0,540,1
2955,oh god guy counter totally checking,Phoebe,6,541,0
2956,really god really cute,Monica,6,541,1
2957,go,Phoebe,4,541,2
2958,phoebe engaged,Monica,6,541,3
2959,saying get number case,Phoebe,4,541,4
2960,chandler accident perform sexually would want take lover satisfy need longer fulfill,Phoebe,4,541,5
2961,op tell something flattered umm engaged,Monica,3,541,6
2962,well embarrassed,Monica,1,541,7
2963,really fun,Phoebe,3,541,8
2964,hey,Chandler,4,542,0
2965,chandler sensed,Ross,4,542,1
2966,unagi always aware,Ross,4,542,3
2967,okay aware unagi eel,Chandler,3,542,4
2968,figure make monica,Chandler,4,542,6
2969,oh make one little joke,Ross,0,542,7
2970,going crazy okay thing around look homemade,Chandler,2,542,8
2971,know,Ross,4,542,9
2972,love,Ross,4,542,10
2973,uh exact replica apollo,Ross,4,542,11
2974,made sixth grade,Ross,4,542,12
2975,yeah guess could use could say love sends moon,Chandler,4,542,13
2976,except apollo actually land moon,Ross,4,542,14
2977,could write umm love let orbit moon twice return safely,Ross,3,542,15
2978,wait minute give,Chandler,4,542,16
